code,product_name,brands,stores,categories,nutriscore_grade,nova_group,ecoscore_grade,countries,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g
5906728420296,BIO Łan z masłem orzechowym (Mandryl),Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",c,3,,"Poland,United States",,,,,,,
5904730697477,BIO Słonecznikowe z agawą,Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",c,3,,"Poland,United States",,,,,,,
5904730697668,BIO Owsiane z figami,Irenki,,"Przekąski, Słodkie przekąski, en:Biscuits and cakes, Herbatnik",c,3,,"Poland,United States",,,,,,,
5060360505718,Light & Free Cottage Cheese,,,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages à pâte fraîche, Cottage cheeses",a,,,en:pl,,,,,,,
5900757063134,Danie express Panierowane skrzydełka z kurczaka,,,"Produkty na bazie mięsa,Mięsa,en:Chicken and its products,Mięso drobiowe,Kurczaki,en:Chicken wings",d,4,,Polska,,,,,,,
2081144268844,piwo jasne o smaku manga,Browar Połczyn Zdrój,,"Napoje,Napoje alkoholowe,en:Premixed alcoholic beverages,en:Beer-based alcoholic beverages",not-applicable,4,,Polska,,,,,,,
5900643031858,Danio o smaku klasycznej wanilii,Danone,,"Nabiał, Żywność fermentowana, Desery, Fermentowane produkty mleczne, Sery, Desery mleczne, Fermentowane desery mleczne, en:Fresh cheeses, Serek homogenizowany",c,4,,"Polska,Szwajcaria",,,,,,,
7613036599009,Bulion drobiowy,"Nestlé, Winiary",,en:broths,c,4,,"Belgium, en:poland",,,,,,,
5010338200060,Chow Mein stir fry sauce,Blue Dragon,,"Condimentos,Molhos,en:Vegetarian sauces,en:Vegan sauces",d,4,,"Polónia,Reino Unido,Portugal",,,,,,,
5010338200039,Sweet & sour stir fry sauce,Blue Dragon,,"Condimentos,Salsas,Salsas agridulces",d,4,,"Polonia,Reino Unido",,,,,,,
5906716522513,Majeranek,Orzeszek,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Przyprawy, en:Culinary plants, en:Aromatic plants, en:aromatic-herbs, Majeranek",unknown,1,,Polska,,,,,,,
8005573002866,,Veroni,,"Produkty na bazie mięsa, Mięsa przetworzone, Szynka, Włoskie produkty mięsne",unknown,,,en:Poland,,,,,,,
5907180312266,Zupa krem pomidorowy,Biedronka,,"Posiłki, Zupy",c,3,,Polsko,,,,,,,
5900536297125,,,,,unknown,,,en:Poland,,,,,,,
5900397731363,Dżem 100% z owoców wiśnia,Łowicz,,"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Produkty śniadaniowe, Smarowidła, Roślinne smarowidła, Słodkie smarowidła, Przetwory owocowe, Dżemy",a,,,Polska,,,,,,,
19000145,Karmi - smak mrożona kawa,Karmi,Kaufland,"Napoje,Napoje alkoholowe,Piwa,Napoje bezalkoholowe,Piwa bezalkoholowe",not-applicable,,,Polska,,,,,,,
5900014004528,Somersby blackberry,,,,unknown,,,en:poland,,,,,,,
5903246012538,Vege Dukaty,,,,unknown,,,en:poland,,,,,,,
5908230528460,Rośl-inne Kabanosy Oryginalne,"Tarczyński,Rośl-inne","Lidl,Biedronka,Kaufland,Auchan","Żywność i napoje na bazie roślin, Alternatywy mięsa, Zastępniki mięsa, Kiełbasy wegetariańskie, Zastępniki mięsa z białka sojowego lub pszennego, Kiełbasy wegańskie, Roślinne kabanosy, Wegańskie kabanosy",e,4,,Polska,,,,,,,
5908230527814,,Tarczyński,Carrefour Express,"Produkty na bazie mięsa,en:Meat preparations,Mięsa,Mięsa przetworzone,en:Chicken and its products,Mięso drobiowe,Kiełbasy,en:Chicken preparations,Kurczaki,Kiełbasy drobiowe,Kiełbasy z kurczaka",d,4,,"Polen, Germany",,,,,,,
4001163165359,Ciasto francuskie XXL,Henglein,,en:Puff pastry sheets,d,,,Polska,,,,,,,
5905784347615,Łosoś wędzony na zimno,Carrefour,,,unknown,,,en:poland,,,,,,,
